Setor,Data,Disponibilidade_Meta,Disponibilidade_Real,Desempenho_Meta,Desempenho_Real,Qualidade_Meta,Qualidade_Real,OeeVisaoGeral_Meta,OeeVisaoGeral_Real,ProducaoReal_Meta,ProducaoReal_Real,CapacidadeReal_Meta,CapacidadeReal_Real,CapacidadeInstalada_Meta,CapacidadeInstalada_Real,UtilizacaoCapacidade_Meta,UtilizacaoCapacidade_Real,CaixasNaoProduzidas_Meta,CaixasNaoProduzidas_Real,HorasAdicionaisAoProcesso_Meta,HorasAdicionaisAoProcesso_Real,HorasParadas_Meta,HorasParadas_Real,HorasReais_Meta,HorasReais_Real,DescartesCaixas_Meta,DescartesCaixas_Real,DescartesTampas_Meta,DescartesTampas_Real,DescartesEmbalagens_Meta,DescartesEmbalagens_Real,Refugo_Meta,Refugo_Real,SegundaLinha_Meta,SegundaLinha_Real
CORTE DE A4,13/01/2020,,1.00,,0.79,,-∞,,-∞,32.50,125.00,,0.79,,157.50,,,46.62,,0h,0,46,62,0,2,59,8:45,,,,,,∞,,0.01,,0.01
CORTE DE BOBINAS,13/01/2020,,1.00,,1.10,,1.00,,1.10,-4.25,48.00,,1.10,,43.75,,,13.76,,0h,0,13,76,0,2,75,8:45,,,,,,,,,,
IMPRESSÃO,13/01/2020,,0.77,,0.41,,0.99,,0.31,15564.00,10700.00,,0.31,,34300.00,,,11687.48,8036.00,0h,0,11.687,48,2:03,3,89,6:42,,,,,,,,0.01,,
CORTE DE A4,14/01/2020,,1.00,,0.76,,-∞,,-∞,37.50,120.00,,0.76,,157.50,,,46.62,,0h,0,46,62,0,2,59,8:45,,,,,,∞,,0.02,,0.01
CORTE DE BOBINAS,14/01/2020,,1.00,,1.08,,0.99,,1.07,-5.61,76.00,,1.08,,70.39,,,22.13,,0h,0,22,13,0,2,75,8:45,,,,,,,,0.01,,
IMPRESSÃO,14/01/2020,,1.00,,1.00,,1.00,,0.99,11.73,30000.00,,1.00,,30011.73,,,13355.22,,0h,0,13.355,22,0,3,89,8:45,,,,,,,,0.01,,
CORTE DE A4,15/01/2020,,0.77,,0.76,,-∞,,-∞,28.60,92.00,,0.58,,157.50,,,35.70,36.90,0h,0,35,70,2:03,2,59,6:42,,,,,,∞,,0.02,,0.01
CORTE DE BOBINAS,15/01/2020,,1.00,,1.07,,0.99,,1.06,-3.61,54.00,,1.07,,50.39,,,15.84,,0h,0,15,84,0,2,75,8:45,,,,,,,,0.01,,
CORTE DE BOBINAS,16/01/2020,,1.00,,1.05,,0.99,,1.04,-2.25,46.00,,1.05,,43.75,,,13.76,,0h,0,13,76,0,2,75,8:45,,,,,,,,0.01,,
CORTE DE BOBINAS,17/01/2020,,1.00,,0.89,,0.99,,0.89,4.75,39.00,,0.89,,43.75,,,13.76,,0h,0,13,76,0,2,75,8:45,,,,,,,,0.01,,
CORTE DE A4,20/01/2020,,0.82,,0.93,,-∞,,-∞,9.30,120.00,,0.76,,157.50,,,38.27,28.20,0h,0,38,27,1:34,2,59,7:11,,,,,,∞,,0.03,,0.02
CORTE DE BOBINAS,20/01/2020,,0.77,,0.93,,1.00,,0.72,3.37,46.00,,0.72,,64.00,,,15.52,14.63,0h,0,15,52,2,2,75,6:45,,,,,,,,,,
IMPRESSÃO,20/01/2020,,0.57,,0.65,,1.00,,0.37,6704.00,12700.00,,0.37,,34300.00,,,8634.78,14896.00,0h,0,8.634,78,3:48,3,89,4:57,,,,,,,,0.00,,
CORTE DE A4,21/01/2020,,1.00,,0.95,,0.98,,0.93,7.37,140.00,,0.95,,147.37,,,43.62,,0h,0,43,62,0,2,59,8:45,,,,,,0.02,,0.00,,0.01
CORTE DE BOBINAS,21/01/2020,,1.00,,1.20,,1.00,,1.20,-14.24,85.00,,1.20,,70.76,,,22.25,,0h,0,22,25,0,2,75,8:45,,,,,,,,,,
IMPRESSÃO,21/01/2020,,1.00,,0.81,,1.00,,0.81,6500.00,27800.00,,0.81,,34300.00,,,15263.50,,0h,0,15.263,50,0,3,89,8:45,,,,,,,,,,
CORTE DE A4,22/01/2020,,1.00,,0.92,,-∞,,-∞,12.50,145.00,,0.92,,157.50,,,46.62,,0h,0,46,62,0,2,59,8:45,,,,,,∞,,0.01,,0.01
CORTE DE BOBINAS,22/01/2020,,1.00,,1.13,,1.00,,1.13,-11.32,100.00,,1.13,,88.68,,,27.88,,0h,0,27,88,0,2,75,8:45,,,,,,,,,,
CORTE DE A4,23/01/2020,,1.00,,0.82,,0.98,,0.81,27.17,123.00,,0.82,,150.17,,,44.45,,0h,0,44,45,0,2,59,8:45,,,,,,0.01,,0.01,,0.01
CORTE DE BOBINAS,23/01/2020,,1.00,,1.01,,1.00,,1.01,-1.51,105.00,,1.01,,103.49,,,32.54,,0h,0,32,54,0,2,75,8:45,,,,,,,,,,
